month,day,hour,pv_energy_gen_kWh
12,1,17,0.0
12,1,17,0.0
12,1,18,0.0
12,1,18,0.0
12,1,18,0.0
12,1,18,0.0
12,1,19,0.0
12,1,19,0.0
12,1,19,0.0
12,1,19,0.0
12,1,20,0.0
12,1,20,0.0
12,1,20,0.0
12,1,20,0.0
12,1,21,0.0
12,1,21,0.0
12,1,21,0.0
12,1,21,0.0
12,1,22,0.0
12,1,22,0.0
12,1,22,0.0
12,1,22,0.0
12,1,23,0.0
12,1,23,0.0
12,1,23,0.0
12,1,23,0.0
12,2,0,0.0
12,2,0,0.0
12,2,0,0.0
12,2,0,0.0
12,2,1,0.0
12,2,1,0.0
12,2,1,0.0
12,2,1,0.0
12,2,2,0.0
12,2,2,0.0
12,2,2,0.0
12,2,2,0.0
12,2,3,0.0
12,2,3,0.0
12,2,3,0.0
12,2,3,0.0
12,2,4,0.0
12,2,4,0.0
12,2,4,0.0
12,2,4,0.0
12,2,5,0.0
12,2,5,0.0
12,2,5,0.0
12,2,5,0.0
12,2,6,0.0
12,2,6,0.0
12,2,6,0.0
12,2,6,0.0
12,2,7,0.0
12,2,7,0.0
12,2,7,0.0
12,2,7,0.0
12,2,8,0.033471375000000005
12,2,8,0.033471375000000005
12,2,8,0.033471375000000005
12,2,8,0.033471375000000005
12,2,9,0.28784025
12,2,9,0.28784025
12,2,9,0.28784025
12,2,9,0.28784025
12,2,10,0.18190325000000002
12,2,10,0.18190325000000002
12,2,10,0.18190325000000002
12,2,10,0.18190325000000002
12,2,11,0.40446612499999995
12,2,11,0.40446612499999995
12,2,11,0.40446612499999995
12,2,11,0.40446612499999995
12,2,12,0.48384750000000004
12,2,12,0.48384750000000004
12,2,12,0.48384750000000004
12,2,12,0.48384750000000004
12,2,13,0.43791887500000004
12,2,13,0.43791887500000004
12,2,13,0.43791887500000004
12,2,13,0.43791887500000004
12,2,14,0.46466674999999996
12,2,14,0.46466674999999996
12,2,14,0.46466674999999996
12,2,14,0.46466674999999996
12,2,15,0.27675974999999997
12,2,15,0.27675974999999997
12,2,15,0.27675974999999997
12,2,15,0.27675974999999997
12,2,16,0.10229537500000001
12,2,16,0.10229537500000001
12,2,16,0.10229537500000001
12,2,16,0.10229537500000001
12,2,17,0.0
12,2,17,0.0
12,2,17,0.0
12,2,17,0.0
12,2,18,0.0
12,2,18,0.0
12,2,18,0.0
12,2,18,0.0
12,2,19,0.0
12,2,19,0.0
12,2,19,0.0
12,2,19,0.0
12,2,20,0.0
12,2,20,0.0
12,2,20,0.0
12,2,20,0.0
12,2,21,0.0
12,2,21,0.0
12,2,21,0.0
12,2,21,0.0
12,2,22,0.0
12,2,22,0.0
12,2,22,0.0
12,2,22,0.0
12,2,23,0.0
12,2,23,0.0
12,2,23,0.0
12,2,23,0.0
12,3,0,0.0
12,3,0,0.0
12,3,0,0.0
12,3,0,0.0
12,3,1,0.0
12,3,1,0.0
12,3,1,0.0
12,3,1,0.0
12,3,2,0.0
12,3,2,0.0
12,3,2,0.0
12,3,2,0.0
12,3,3,0.0
12,3,3,0.0
12,3,3,0.0
12,3,3,0.0
12,3,4,0.0
12,3,4,0.0
12,3,4,0.0
12,3,4,0.0
12,3,5,0.0
12,3,5,0.0
12,3,5,0.0
12,3,5,0.0
12,3,6,0.0
12,3,6,0.0
12,3,6,0.0
12,3,6,0.0
12,3,7,0.0
12,3,7,0.0
12,3,7,0.0
12,3,7,0.0
12,3,8,0.04774225
12,3,8,0.04774225
12,3,8,0.04774225
12,3,8,0.04774225
12,3,9,0.101086875
12,3,9,0.101086875
12,3,9,0.101086875
12,3,9,0.101086875
12,3,10,0.226411375
12,3,10,0.226411375
12,3,10,0.226411375
12,3,10,0.226411375
12,3,11,0.347108375
12,3,11,0.347108375
12,3,11,0.347108375
12,3,11,0.347108375
12,3,12,0.349412625
12,3,12,0.349412625
12,3,12,0.349412625
12,3,12,0.349412625
12,3,13,0.284731375
12,3,13,0.284731375
12,3,13,0.284731375
12,3,13,0.284731375
12,3,14,0.216964875
12,3,14,0.216964875
12,3,14,0.216964875
12,3,14,0.216964875
12,3,15,0.11777649999999999
12,3,15,0.11777649999999999
12,3,15,0.11777649999999999
12,3,15,0.11777649999999999
12,3,16,0.040141875
12,3,16,0.040141875
12,3,16,0.040141875
12,3,16,0.040141875
12,3,17,0.0
12,3,17,0.0
12,3,17,0.0
12,3,17,0.0
12,3,18,0.0
12,3,18,0.0
12,3,18,0.0
12,3,18,0.0
12,3,19,0.0
12,3,19,0.0
12,3,19,0.0
12,3,19,0.0
12,3,20,0.0
12,3,20,0.0
12,3,20,0.0
12,3,20,0.0
12,3,21,0.0
12,3,21,0.0
12,3,21,0.0
12,3,21,0.0
12,3,22,0.0
12,3,22,0.0
12,3,22,0.0
12,3,22,0.0
12,3,23,0.0
12,3,23,0.0
12,3,23,0.0
12,3,23,0.0
12,4,0,0.0
12,4,0,0.0
12,4,0,0.0
12,4,0,0.0
12,4,1,0.0
12,4,1,0.0
12,4,1,0.0
12,4,1,0.0
12,4,2,0.0
12,4,2,0.0
12,4,2,0.0
12,4,2,0.0
12,4,3,0.0
12,4,3,0.0
12,4,3,0.0
12,4,3,0.0
12,4,4,0.0
12,4,4,0.0
12,4,4,0.0
12,4,4,0.0
12,4,5,0.0
12,4,5,0.0
12,4,5,0.0
12,4,5,0.0
12,4,6,0.0
12,4,6,0.0
12,4,6,0.0
12,4,6,0.0
12,4,7,0.0
12,4,7,0.0
12,4,7,0.0
12,4,7,0.0
12,4,8,0.0
12,4,8,0.0
12,4,8,0.0
12,4,8,0.0
12,4,9,0.02270625
12,4,9,0.02270625
12,4,9,0.02270625
12,4,9,0.02270625
12,4,10,0.092441625
12,4,10,0.092441625
12,4,10,0.092441625
12,4,10,0.092441625
12,4,11,0.273764
12,4,11,0.273764
12,4,11,0.273764
12,4,11,0.273764
12,4,12,0.28992
12,4,12,0.28992
12,4,12,0.28992
12,4,12,0.28992
